Clinic_ID,Clinic_Name,Clinic_Type,Contact_Name,Phone,Email,Parent_Company,Interaction_Date,Product_Interest,Follow_Up,Lead_Source,Industry,Status,Last_Contacted,Clinic_Address,Region,Rep_Name,CRM_Created_Date,Notes
C078,Burke PLC Clinic,Emergency,Brandon Mullins,010-780-5818x62317,christopher58@gmail.com,VetCare Holdings,08-05-2025,Dental Cleaning Kits,No,Referral,Animal Hospital,Closed - Not Converted,10-05-2025,"8641 Baker Cape Apt. 539, Hayesberg, RI 30465",Galway,Ricardo Russell,17-04-2025,Our create short leave safe message idea direction just.
C079,Leblanc-Gonzales Clinic,General,Julie Haynes,(577)328-9213x1177,michele07@austin.net,WellPaws Holdings,25-04-2025,Pain Relief Medication,No,Trade Show,Veterinary,New,14-04-2025,"PSC 8752, Box 0359, APO AE 12302",Cork,Brandon Nguyen,11-06-2024,Scene authority really themselves international particularly free public make now true catch strategy.
C080,Davis-Rivera Clinic,Emergency,Matthew Pierce,836-941-5462x274,kennethatkinson@gmail.com,VetCare Holdings,10-05-2025,Dental Cleaning Kits,Yes,Referral,Pet Grooming,Closed - Not Converted,13-04-2025,"05828 Gary Estates Apt. 574, Chavezmouth, LA 12336",Galway,Christopher Summers Jr.,07-01-2025,Cultural tend short safe very while result environment situation strong door.
C081,Robles Inc Clinic,Emergency,Sarah Marshall,(016)194-2942x77672,pweber@hotmail.com,Independent Clinics,07-05-2025,Flea & Tick Prevention Kits,No,Web Form,Veterinary,Working,14-04-2025,"PSC 8468, Box 6848, APO AP 62976",Dublin,Brandon Nguyen,19-07-2024,Data structure nothing individual them prepare blue assume place development week read personal turn forward.
C082,Mckee-Carter Clinic,General,Kathleen Thomas,282.111.7308x89250,finleyvincent@yahoo.com,PetWell Group,30-04-2025,Post-Surgery Antibiotics,Yes,Email Campaign,Pet Grooming,Working,25-04-2025,"3948 Christopher Grove Apt. 676, Lake Christopher, ID 89273",Galway,Christopher Summers Jr.,15-09-2024,Experience he religious stand challenge key rise present management second step decision mission production agree.
C083,Stewart Ltd Clinic,General,Nicole Ryan,(328)763-5424,bfrye@wood.com,PetWell Group,28-04-2025,Post-Surgery Antibiotics,No,Email Campaign,Pet Grooming,Working,03-05-2025,"95232 Jordan Villages, Sandersbury, CT 73686",Galway,Erik Vance,18-06-2024,Plan rest authority past station south turn smile popular discover forward someone rock.
C084,Wright-Chase Clinic,Specialty,James Schmidt,729-053-8145,eric18@garza.info,GlobalVet Services,29-04-2025,Diagnostic Equipment,Yes,Referral,Veterinary,Working,19-04-2025,"03035 Debra Port, Amberchester, DC 86674",Cork,Ricardo Russell,16-11-2024,Almost visit budget matter how because design issue.
C085,"Hahn, Dennis and Glover Clinic",Emergency,Garrett Williams,274-231-9751x9285,jennifer15@freeman.com,CompanionCare Inc.,13-04-2025,Deworming Tablets,No,Email Campaign,Animal Hospital,New,10-05-2025,"09884 Shaw Summit Suite 575, Carterview, HI 99852",Dublin,Matthew Gonzales,13-02-2025,Follow start attention world would reduce current federal respond voice along no.
C086,Taylor PLC Clinic,Emergency,James Graves,182-080-6945x44707,matthewarnold@gmail.com,Canine & Feline Group,14-04-2025,Post-Surgery Antibiotics,Yes,Referral,Veterinary,New,14-04-2025,"4545 Kelsey Extension Apt. 213, North Eileen, AK 65037",Dublin,Erik Vance,12-11-2024,Commercial forward thing wind tree drug hour case next new election hundred work blood.
C087,Vance LLC Clinic,Emergency,David Mcgee,651314124,bsingh@huynh-vaughan.org,VetCare Holdings,06-05-2025,Deworming Tablets,Yes,Referral,Veterinary,Working,08-05-2025,"PSC 4011, Box 9315, APO AA 23733",Waterford,Brandon Nguyen,29-05-2024,Person goal detail open country tell drop religious parent poor pretty result.
C088,"Ruiz, King and Murray Clinic",Specialty,Mr. William Barker,118.874.3037,natashacoleman@keith-mcdowell.net,GlobalVet Services,03-05-2025,Canine Vaccines,No,Email Campaign,Veterinary,Closed - Not Converted,17-04-2025,"USNS Calderon, FPO AE 25183",Cork,Elizabeth Green,15-10-2024,Seven pretty fish drop career nothing issue vote sense two window interview.
C089,Cunningham-Johnson Clinic,General,Thomas Thompson,001-034-742-8949,dmiller@hotmail.com,EquiPet Enterprises,17-04-2025,Post-Surgery Antibiotics,Yes,Trade Show,Veterinary,Closed - Converted,26-04-2025,"5230 Villanueva Knoll, Hoffmanchester, MS 50049",Cork,Elizabeth Green,19-03-2025,Several however safe think road job including any later draw hit.
C090,Haney PLC Clinic,Emergency,Michael Moreno,943.056.6629x45653,qbaker@freeman.com,Animal Health Partners,28-04-2025,Pain Relief Medication,Yes,Email Campaign,Veterinary,New,09-05-2025,"3853 David Port Apt. 471, North Dorothymouth, IA 90452",Dublin,Christopher Summers Jr.,01-04-2025,Foreign explain I likely who person consider west life.
C091,Rhodes-Garrett Clinic,Specialty,John Smith,001-500-422-4833,gonzalezandrew@gmail.com,PetPrime Group,26-04-2025,Flea & Tick Prevention Kits,No,Email Campaign,Animal Hospital,Working,25-04-2025,"4271 David Radial Apt. 390, Meganhaven, FL 68141",Galway,Ricardo Russell,08-12-2024,Situation serious improve can and that military purpose share thousand need beat strong.
C092,Curtis Group Clinic,Specialty,Gabriela Jones,(601)695-9050x87805,sheilabutler@chen-cunningham.com,EquiPet Enterprises,11-05-2025,Post-Surgery Antibiotics,No,Email Campaign,Pet Grooming,New,17-04-2025,"7808 Amanda Trail, Acevedoside, OH 66586",Galway,Christopher Summers Jr.,08-01-2025,Future letter until else clearly his know common carry physical lay produce reduce.
C093,Simpson PLC Clinic,General,William Hill,-3262,gonzalezcarlos@gmail.com,VetCare Holdings,03-05-2025,Feline Vaccines,No,Phone Inquiry,Pet Grooming,Working,06-05-2025,"1915 Michelle Summit, Brittanyborough, NJ 64963",Cork,Matthew Gonzales,25-04-2025,Store hotel rather crime where goal policy sense.
C094,Prince-Garrett Clinic,Emergency,Robert Murillo,116-828-3860x1305,danieljohns@martinez.com,VetCare Holdings,06-05-2025,Dental Cleaning Kits,Yes,Referral,Animal Hospital,New,17-04-2025,"000 Jeremy Roads, West Ericport, WY 61812",Dublin,Katie Curtis,01-01-2025,Fine machine resource police yes there up mind skill century of even.
C095,"Johnson, Smith and Ward Clinic",General,Tanner Diaz,(570)067-1265x183,echan@peters.biz,PetPrime Group,07-05-2025,Deworming Tablets,No,Phone Inquiry,Animal Hospital,Closed - Not Converted,11-05-2025,"154 Phelps Meadow Suite 149, Hallfurt, ND 46521",Waterford,Ricardo Russell,25-02-2025,Each fill year this plan imagine service among before model.
C096,"Mata, Miller and Perez Clinic",Emergency,Jacqueline Rodriguez,+1-415-253-3476x07375,shelley43@jefferson-foster.com,VetCare Holdings,28-04-2025,Feline Vaccines,Yes,Web Form,Pet Grooming,New,05-05-2025,"821 Foster Rue Apt. 758, Castilloborough, SC 92738",Galway,Katie Curtis,03-11-2024,Only strategy site goal walk democratic bit well ability pretty tonight argue.
C097,"Logan, Keith and Jones Clinic",General,Tracey Franklin,(899)877-8876x1160,paul07@gmail.com,Zoovet Corporates,17-04-2025,Canine Vaccines,No,Phone Inquiry,Veterinary,New,20-04-2025,"6442 Megan Knolls, South Kristinmouth, VT 65024",Limerick,Christopher Summers Jr.,30-11-2024,Contain economy church our price service huge institution especially despite.
C098,Harvey Ltd Clinic,Emergency,Allison Jones,397-114-7640x94304,dawnward@hotmail.com,WellPaws Holdings,03-05-2025,Canine Vaccines,No,Phone Inquiry,Veterinary,Working,21-04-2025,"4782 Murphy Mount Suite 460, West Alyssaton, ND 39971",Limerick,Katie Curtis,22-01-2025,Media else condition direction glass rich least they red lawyer pass college whole whom increase.
C099,Aguilar and Sons Clinic,Emergency,Anna Taylor,196-711-0504,sschultz@fischer.com,CompanionCare Inc.,21-04-2025,Feline Vaccines,Yes,Trade Show,Pet Grooming,Closed - Converted,16-04-2025,"4301 Jones Burg, Johnsonhaven, ME 65678",Dublin,Brandon Nguyen,10-06-2024,Condition sometimes mention level issue trouble hundred.
C100,Walker-Davis Clinic,General,Richard Webb,001-048-017-1383x166,matthew32@goodwin-martinez.com,PetWell Group,06-05-2025,Flea & Tick Prevention Kits,Yes,Phone Inquiry,Pet Grooming,Closed - Converted,18-04-2025,"432 Barbara Heights Suite 286, Conniehaven, RI 81933",Cork,Brandon Nguyen,11-08-2024,Hold tax system catch ready cold fight see.
